,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,benefits_received,benefits_received1,benefits_received2,benefits_received3,benefits_received4,benefit_rank1,benefit_rank2,benefit_rank3,fair_distributed,opinion_represented,ccy_satisfaction,ccy_communication,communication_neighbours,receive_info1,receive_info2,receive_info3,receive_info4,receive_info5,receive_info6,receive_info7,receive_info8,other_communication,trust_revenue,support_traditional,received_bursary,other_got_bursary,transport_impact,transport_satisfaction,security_impact,security_satisfaction,bursaries_impact,bursaries_satisfaction,medical_impact,medical_satisfaction,rangelands_impact,rangelands_satisfaction,beadwork_impact,beadwork_satisfaction,mfi_impact,mfi_satsifaction,other_positive,other_positive_impact,other_satisfaction,neg_conservation_impact,neg_conservation_satisfaction,neg_security_impact,neg_security_satisfaction,neg_rangelands_impact,neg_rangelands_satisfaction,neg_other,neg_other_impact,neg_other.satisfaction,transport_impact1,transport_improve,security_impact1,security_improve,bursaries_impact1,bursaries_improve,medical_impact1,medical_improve,rangelands_impact1,rangelands_improve,beadwork_impact1,beadwork_improve,mfi_impact1,mfi_improve,conservation_impact1,conservation_improve,other_impact1,other_improve,general_wellbeing,agm,ccy_permenant_employ,ccy_casual_employ
1,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,3,4,NA,NA,NA,NA,NA,NA,1,1,1,1,98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
2,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,3,4,NA,NA,NA,NA,NA,NA,1,1,1,1,98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
3,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,3,4,NA,NA,NA,NA,NA,NA,1,1,1,1,98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
4,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,3,4,NA,NA,NA,NA,NA,NA,1,1,1,1,98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
5,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
6,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
7,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
8,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
9,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,2,3,6,NA,NA,NA,NA,NA,1,1,1,98,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
10,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,2,3,6,NA,NA,NA,NA,NA,1,1,1,98,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
